id,from,at,to,open,close,min,max,volume
1907041,1670444100,1670444160000000000,1670444160,1.051375,1.051385,1.051295,1.051425,148
1907042,1670444160,1670444220000000000,1670444220,1.051385,1.051365,1.051365,1.051685,256
1907043,1670444220,1670444280001515105,1670444280,1.051365,1.051245,1.051185,1.051395,287
1907044,1670444280,1670444340000000000,1670444340,1.051265,1.050885,1.050845,1.051285,350
1907045,1670444340,1670444400001460376,1670444400,1.050885,1.050915,1.050855,1.050965,278
1907046,1670444400,1670444460000000000,1670444460,1.050925,1.050645,1.050635,1.050945,377
1907047,1670444460,1670444520000000000,1670444520,1.050635,1.050305,1.050305,1.050715,282
1907048,1670444520,1670444580000000000,1670444580,1.050315,1.050555,1.050215,1.050575,344
1907049,1670444580,1670444640000000000,1670444640,1.050545,1.050415,1.050405,1.050565,256
1907050,1670444640,1670444700002847075,1670444700,1.050415,1.050445,1.050385,1.050485,278
1907051,1670444700,1670444760000000000,1670444760,1.050445,1.050575,1.050415,1.050585,305
1907052,1670444760,1670444820000000000,1670444820,1.050575,1.050665,1.050505,1.050685,183
1907053,1670444820,1670444880000000000,1670444880,1.050675,1.050635,1.050485,1.050675,206
1907054,1670444880,1670444921000006842,1670444940,1.050635,1.050655,1.050635,1.050765,137
